cell_id,ue_local_id,ue_id,avg_thr_mbps,avg_mcs_tx_only,avg_mcs_all_tti0,scheduled_tti_count,no_tx_tti_count,scheduled_ratio,avg_wb_sinr_db,avg_sched_wb_sinr_db,avg_predicted_bler,tb_err_count,tb_bler,tx_success_rate,tx_drop_rate,tx_total_pkts,tx_success_pkts,queue_delay_est_ms,generated_bytes,mac_buffer_bytes,mcs_samples
0,0,1,0.416641,0.279412,0.237500,340,60,0.850000,-4.773406,-4.764362,0.115458,35,0.102941,0.897059,0.102941,340,305,41909.429507,3100000,2182648,340
0,1,2,1.228348,2.358839,2.235000,379,21,0.947500,16.299338,16.189747,0.139112,53,0.139842,0.860158,0.139842,379,326,16485.225537,3165000,2531200,379
0,2,3,0.799852,2.386441,1.760000,295,105,0.737500,2.901739,2.880803,0.098034,28,0.094915,0.905085,0.094915,295,267,27896.287351,3290000,2789112,295
0,3,4,0.203302,0.838926,0.625000,298,102,0.745000,24.262328,24.154984,0.195838,64,0.214765,0.785235,0.214765,298,234,109705.510596,3065000,2787920,298
0,4,7,0.224155,0.083942,0.057500,274,126,0.685000,-9.192213,-9.192176,0.097770,32,0.116788,0.883212,0.116788,274,242,115277.415208,3230000,3230000,274
0,5,13,0.915088,1.843558,1.502500,326,74,0.815000,0.012364,-0.063069,0.079114,28,0.085890,0.914110,0.085890,326,298,25726.494449,3165000,2942752,326
1,0,6,0.147022,0.212963,0.115000,216,184,0.540000,-0.971774,-0.986064,0.093018,25,0.115741,0.884259,0.115741,216,191,159975.853985,2940000,2940000,216
1,1,8,0.280121,0.164430,0.122500,298,102,0.745000,-4.406414,-4.360674,0.096816,25,0.083893,0.916107,0.083893,298,273,84861.128028,3060000,2971424,298
1,2,10,0.326856,0.000000,0.000000,335,65,0.837500,-7.064927,-7.082024,0.114676,41,0.122388,0.877612,0.122388,335,294,70510.876919,3110000,2880864,335
1,3,11,0.211903,0.066202,0.047500,287,113,0.717500,-3.127599,-3.510832,0.096196,27,0.094077,0.905923,0.094077,287,260,110832.948994,3150000,2935728,287
1,4,12,0.066980,0.000000,0.000000,55,345,0.137500,-18.754907,-18.673903,0.051572,2,0.036364,0.963636,0.036364,55,53,369234.122131,3250000,3091408,55
1,5,14,0.330727,0.632509,0.447500,283,117,0.707500,-1.640539,-1.652891,0.114954,29,0.102473,0.897527,0.102473,283,254,75170.256623,3420000,3107608,283
1,6,15,0.317863,0.616197,0.437500,284,116,0.710000,-3.060253,-3.267897,0.088831,26,0.091549,0.908451,0.091549,284,258,68696.631781,3170000,2729512,284
1,7,17,0.525851,1.845614,1.315000,285,115,0.712500,-7.427118,-7.497323,0.059651,17,0.059649,0.940351,0.059649,285,268,45433.794360,3195000,2986424,285
1,8,45,0.633101,2.495652,1.435000,230,170,0.575000,-8.597408,-8.601458,0.030627,5,0.021739,0.978261,0.021739,230,225,38729.970503,3065000,3065000,230
2,0,9,0.226974,0.155738,0.095000,244,156,0.610000,-7.310246,-7.318744,0.077491,20,0.081967,0.918033,0.081967,244,224,108962.069486,3270000,3091448,244
2,1,18,0.117723,0.151832,0.072500,191,209,0.477500,1.315177,1.391777,0.148748,25,0.130890,0.869110,0.130890,191,166,201852.330023,3125000,2970328,191
2,2,19,0.311079,0.300000,0.232500,310,90,0.775000,-3.439489,-3.461928,0.105627,28,0.090323,0.909677,0.090323,310,282,73852.755689,3095000,2871752,310
