iter,episode_seed,topology_seed,rollout_steps,rollout_post_eq_enabled_mean,rollout_post_eq_layer_dim_mean,rollout_reward_mean,rollout_reward_raw_env_mean,rollout_blank_ratio_mean,rollout_post_decode_drop_ratio_mean,rollout_final_blank_ratio_mean,rollout_cap_drop_count_mean,rollout_fallback_success_count_mean,rollout_insert_fallback_success_count_mean,rollout_over_cap_keep_count_mean,rollout_over_cap_block_count_mean,rollout_over_cap_extra_block_count_mean,rollout_over_cap_quality_block_count_mean,rollout_over_cap_tb_err_block_count_mean,rollout_final_blank_count_mean,rollout_action_fill_ratio_mean,rollout_action_unique_ue_mean,rollout_candidate_unique_ue_mean,rollout_demand_active_ue_mean,rollout_candidate_coverage_ratio_mean,rollout_unserved_demand_ue_mean,rollout_planned_unserved_demand_ue_mean,rollout_actual_unserved_backlog_bytes_mean,rollout_accepted_pre_pdsch_ue_diagnostics_available_mean,rollout_actual_ue_diagnostics_available_mean,rollout_native_reject_diagnostics_available_mean,rollout_native_reject_wrong_cell_slot_count_mean,rollout_native_reject_empty_slot_count_mean,rollout_native_reject_prg_mask_count_mean,rollout_native_reject_oob_slot_count_mean,rollout_native_reject_duplicate_ue_count_mean,rollout_python_preflight_wrong_cell_slot_count_mean,rollout_python_preflight_empty_slot_count_mean,rollout_python_preflight_prg_mask_count_mean,rollout_python_preflight_oob_slot_count_mean,rollout_python_preflight_duplicate_ue_count_mean,rollout_native_slot_layout_available_mean,rollout_native_slot_count_abs_delta_sum_mean,rollout_native_cell_start_abs_delta_sum_mean,rollout_native_slot_to_cell_mismatch_count_mean,rollout_planned_accepted_pre_pdsch_prg_gap_count_mean,rollout_planned_accepted_pre_pdsch_prg_gap_ratio_mean,rollout_accepted_pre_pdsch_actual_prg_gap_count_mean,rollout_accepted_pre_pdsch_actual_prg_gap_ratio_mean,rollout_planned_native_prg_gap_count_mean,rollout_planned_native_prg_gap_ratio_mean,rollout_no_service_streak_p90_mean,rollout_no_service_streak_max_mean,rollout_recent100_service_rate_p10_mean,rollout_recent100_service_rate_p50_mean,rollout_recent100_unserved_backlog_p90_bytes_mean,rollout_recent100_debt_score_p90_bytes_mean,rollout_recent100_debt_score_max_bytes_mean,rollout_backlog_p90_bytes_mean,rollout_backlog_max_bytes_mean,rollout_goodput_mbps_mean,rollout_tb_err_rate_mean,rollout_expiry_drop_rate_mean,rollout_prg_utilization_ratio_mean,rollout_prg_reuse_ratio_mean,rollout_packet_completed_count_mean,rollout_packet_effective_service_rate_mbps_mean,rollout_conflict_mean,rollout_ici_mean,rollout_active_prg_goodput_efficiency_mean,rollout_harmful_packing_penalty_mean,rollout_backlog_debt_penalty_mean,rollout_backlog_debt_coef_mean,rollout_backlog_debt_weighted_penalty_mean,rollout_packet_rate_bonus_mean,rollout_packet_completion_bonus_mean,rollout_aged_backlog_penalty_mean,rollout_aged_backlog_coef_mean,rollout_aged_backlog_weighted_penalty_mean,rollout_coverage_repair_count_mean,rollout_entropy_mean,policy_loss,value_loss,entropy_mean,approx_kl_mean,teacher_aux_loss,teacher_aux_coef,num_updates,stopped_by_target_kl,epochs_completed,collect_time_s,update_time_s,iter_time_s,adv_mean,adv_std,return_mean
1.0,42.0,42.0,1024.0,1.0,4.0,0.4045978244453241,79.51377677638084,0.15540748120838543,0.1682559512919397,0.32366343194735236,8.5810546875,10.1669921875,0.0,0.0,0.0,0.0,0.0,0.0,16.5068359375,0.6763365680526476,15.9501953125,26.05859375,26.05859375,1.0,10.1083984375,10.1083984375,109559.3515625,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7939450284466147,3.6142578125,0.5350361410237383,0.6142969827051274,9273.20441865921,20158.451807022095,29476.869740486145,23437.672590255737,36127.1171875,1497.970552995801,0.13238451018332853,0.0,0.676336567295948,0.5688360112617374,35.8466796875,17.446611827705055,0.6123525744187646,0.3322339076839853,21.488316399044415,0.056566955573032235,3.543375349081562,0.0,0.0,0.9864890964619328,0.6868812727806046,2.2008503183461743,0.0,0.0,0.0,1.7349476212402806,-0.0058372302045082225,1.4282490867992927,1.7249801611078197,0.028062469101157683,0.0,0.0,58.0,1.0,4.0,74.28593778144568,4.695843482855707,79.02803855994716,1.1781230568885803e-07,1.0,6.7985005378723145
2.0,42.0,42.0,1024.0,1.0,4.0,0.12999608207781457,83.01752731949091,0.2103630593737762,0.10468364648477291,0.315046703297412,5.3388671875,9.1474609375,0.0,0.0,0.0,0.0,0.0,0.0,16.0673828125,0.684953296702588,15.70703125,27.6357421875,27.6357421875,1.0,11.9287109375,11.9287109375,170788.6640625,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.14130830578506,4.208984375,0.49514233809895813,0.5682449765736237,13649.129438400269,28985.44776535034,52532.901514053345,31854.778564453125,56977.1953125,1561.4373008012772,0.09313772882524063,0.0,0.684953296353342,0.5647240162797971,35.833984375,12.45813351124525,0.6100069065578282,0.3308831686445046,22.00855822594341,0.04450893232004993,4.016850971385384,0.0,0.0,0.7994762165950755,0.6869856258304589,2.603079377520899,0.0,0.0,0.0,1.7637465859297663,0.00011918460950255394,1.7518777567893267,1.7580944076180458,0.03458511573262513,0.0,0.0,16.0,1.0,1.0,70.07529930584133,1.2965692738071084,71.42457304010168,-1.257285475730896e-08,1.0,7.4069132804870605
3.0,42.0,42.0,1024.0,1.0,4.0,0.09060182213788742,83.25734231248498,0.07959942119487096,0.2049057704025472,0.2845051912299823,10.4501953125,10.943359375,0.0,0.0,0.0,0.0,0.0,0.0,14.509765625,0.7154948087700177,15.68359375,27.2880859375,27.2880859375,1.0,11.6044921875,11.6044921875,142667.3671875,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1085934303700924,4.251953125,0.4959660839231219,0.5724193138885312,11269.748584747314,23373.133213043213,39705.159532547,25617.371293067932,44034.2265625,1569.3952986598015,0.09606763612828217,0.0,0.7154948079260066,0.6174163239775226,36.0166015625,14.592996556777507,0.6162013806751929,0.3335050279274583,21.571390282134317,0.04886841383490707,3.843330822377375,0.0,0.0,0.8914816290921619,0.6895289952723018,2.3931733948505647,0.0,0.0,0.0,1.7353288936428726,0.0018603858537971974,0.29714966714382174,1.7469766169786454,0.028086049109697343,0.0,0.0,40.0,1.0,3.0,73.49041560618207,3.2281203982420266,76.77065751422197,-1.862645149230957e-08,1.0,6.870542526245117
4.0,42.0,42.0,1024.0,1.0,4.0,0.049700169814253306,82.82924092561007,0.06092984330462059,0.20580574114137562,0.2667355839512311,10.49609375,11.7744140625,0.0,0.0,0.0,0.0,0.0,0.0,13.603515625,0.7332644160487689,16.8837890625,26.912109375,26.912109375,1.0,10.0283203125,10.0283203125,104873.9140625,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.717773161828518,3.4736328125,0.5605476184864528,0.6238217871286906,8365.317954540253,17654.25102043152,28436.10507965088,22044.014853477478,36212.234375,1563.4645509719849,0.0976929453536286,0.0,0.7332644150301348,0.6420950126776006,35.9384765625,16.429149314761162,0.6044634779682383,0.32947919942671433,21.171512631156563,0.052222161526561166,3.535994297249859,0.0,0.0,0.9645924103201065,0.6884540028821555,2.0848814262152655,0.0,0.0,0.0,1.7639426408568397,-0.0025578485801815987,0.38948672940023243,1.744735598564148,0.02079005033010617,0.0,0.0,64.0,0.0,4.0,74.24292556475848,5.161274587269872,79.45662235096097,6.28642737865448e-09,1.0,8.627776145935059
5.0,42.0,42.0,1024.0,1.0,4.0,0.05466762304463483,83.11770988255739,0.03739660090650432,0.2219094492847944,0.2593060499348212,11.3173828125,11.998046875,0.0,0.0,0.0,0.0,0.0,0.0,13.224609375,0.7406939500651788,17.1845703125,27.0869140625,27.0869140625,1.0,9.90234375,9.90234375,95584.59375,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7123044021427631,3.73828125,0.5446934918290935,0.6445482650306076,7521.43777513504,16129.371998786926,26264.031651496887,20676.265140533447,33986.171875,1570.320176243782,0.09869086894468637,0.0,0.7406939490465447,0.6625936733762501,36.1875,17.178199900314212,0.6170917752897367,0.33634110842831433,21.062851367289205,0.05483169596832642,3.443962338186944,0.0,0.0,0.9927634950694448,0.6920820693788113,2.0027362619930313,0.0,0.0,0.0,1.748015207820572,-0.0011782764631789178,0.3228824511170387,1.7553665842860937,0.01685643388191238,0.0,0.0,64.0,0.0,4.0,74.9540381571278,5.162609725724906,80.16873521916568,-1.0477378964424133e-08,1.0,9.210670471191406
6.0,42.0,42.0,1024.0,1.0,4.0,0.02709093457406813,82.84675749018788,0.08637791416731488,0.1930912788011483,0.27946919258101843,9.84765625,12.1201171875,0.0,0.0,0.0,0.0,0.0,0.0,14.2529296875,0.7205308074189816,17.0830078125,27.0,27.0,1.0,9.9169921875,9.9169921875,94583.703125,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7660153154283762,3.9833984375,0.5287694752623793,0.6533268044586293,7555.780326366425,16184.663774490356,25987.264565467834,20309.647254943848,33443.1953125,1562.1099271178246,0.09640684082114603,0.0,0.7205308068660088,0.6200695085572079,35.8369140625,17.11967351473868,0.6138652873924002,0.3333369561005384,21.370805995337683,0.04897726569201076,3.437839835187954,0.0,0.0,0.9911005528617265,0.6870588249538162,2.0105223299073645,0.0,0.0,0.0,1.7476040142355487,0.0022060018482393234,0.4113811411220452,1.7588817395012954,0.024851933314368642,0.0,0.0,58.0,1.0,4.0,74.2731076721102,4.68095759768039,79.00671027041972,5.21540641784668e-08,1.0,8.749399185180664
7.0,42.0,42.0,1024.0,1.0,4.0,0.04735666056945117,83.23242518678308,0.18862975574666052,0.12297025791849592,0.31160001215175726,6.271484375,10.580078125,0.0,0.0,0.0,0.0,0.0,0.0,15.8916015625,0.6883999878482427,16.6318359375,27.4296875,27.4296875,1.0,10.7978515625,10.7978515625,116010.171875,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9198239091783762,4.1708984375,0.5001048613048624,0.627555119106546,9169.26678609848,19731.61497592926,33194.21283340454,23519.282724380493,41079.59375,1565.4626744389534,0.0936866210649896,0.0,0.6883999876154121,0.5637431652576197,35.93359375,15.234462208114564,0.6173311285092495,0.33531953339115717,22.030915607915464,0.04398257120011326,3.631667790244124,0.0,0.0,0.9173418532917677,0.688250186483286,2.208714407026541,0.0,0.0,0.0,1.7650689554866403,0.0015710420249139562,0.4856297040686888,1.7692654343212353,0.02718132098808008,0.0,0.0,17.0,1.0,2.0,71.59701608028263,1.3685677973553538,73.01816969783977,-1.257285475730896e-08,1.0,8.875757217407227
8.0,42.0,42.0,1024.0,1.0,4.0,0.06438044662047791,83.65444015711546,0.0715571415512386,0.20075059337250423,0.2723077344999183,10.23828125,12.0908203125,0.0,0.0,0.0,0.0,0.0,0.0,13.8876953125,0.7276922655000817,16.55859375,27.294921875,27.294921875,1.0,10.736328125,10.736328125,110138.6484375,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.882128644734621,3.658203125,0.51978010989842,0.615449029719457,8208.883569717407,17902.82581615448,26817.6078748703,22351.743280410767,34451.9140625,1578.2526733875275,0.09621220095868921,0.0,0.7276922648889013,0.6293561477796175,36.275390625,16.0877886377275,0.6124674626043998,0.33355414104880765,21.44877412225589,0.05071982265213161,3.587605550303281,0.0,0.0,0.9517635005634615,0.693185755119113,2.1156429348468944,0.0,0.0,0.0,1.7503893767716363,0.006301830040997472,0.5388790019627275,1.7241324802924847,0.032384338692344465,0.0,0.0,29.0,1.0,2.0,74.4301904188469,2.332966242916882,76.81588100967929,-2.3283064365386963e-09,0.9999999403953552,9.605263710021973
9.0,42.0,42.0,1024.0,1.0,4.0,0.06324308658321683,83.7521442770958,0.021656710478055174,0.2438150870239042,0.2654717974946834,12.4345703125,12.126953125,0.0,0.0,0.0,0.0,0.0,0.0,13.5390625,0.7345282025053166,16.7509765625,27.162109375,27.162109375,1.0,10.4111328125,10.4111328125,100279.7890625,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8317379858344793,4.0556640625,0.48264675197424367,0.6349599563982338,8073.401286125183,17594.1735124588,28730.941598892212,21224.106630325317,33363.765625,1581.2762987017632,0.09713015077795717,0.0,0.7345282017777208,0.6521655487886164,36.3857421875,17.066892984323204,0.6149375922977924,0.33224599677487276,21.324407890697447,0.05281553140887543,3.4892808879454362,0.0,0.0,0.9884818083529737,0.6943241593021499,2.092465997141314,0.0,0.0,0.0,1.7071907347999513,-0.0024511910742148757,0.4597377870231867,1.7026099786162376,0.02560398227069527,0.0,0.0,64.0,0.0,4.0,75.36187854316086,5.16442684084177,80.57879146095365,5.587935447692871e-09,1.0,8.512038230895996
10.0,42.0,42.0,1024.0,1.0,4.0,0.00430559452214971,82.86696143075824,0.007123162020434393,0.2588464906621084,0.2659696526825428,13.201171875,12.2412109375,0.0,0.0,0.0,0.0,0.0,0.0,13.564453125,0.7340303473174572,16.626953125,27.2861328125,27.2861328125,1.0,10.6591796875,10.6591796875,96966.484375,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8398434557020664,3.71875,0.51675761397928,0.6221119215479121,7280.437795639038,15942.085043907166,24711.00657272339,20192.88390159607,31963.734375,1564.3874236345291,0.09842228262641584,0.0,0.7340303462697193,0.6630072756670415,35.9541015625,17.04314806777984,0.6079293164657429,0.3275630889693275,21.18454809281028,0.05307233883306334,3.46850237194309,0.0,0.0,0.988424448860915,0.6887808942594308,2.0053591418255254,0.0,0.0,0.0,1.7000223215436563,-0.007359780114272545,0.35698985436867026,1.7002806211340016,0.020348426982246596,0.0,0.0,29.0,1.0,2.0,75.85315916361287,2.34418683918193,78.24995040614158,1.3504177331924438e-08,1.0,7.161683559417725
