ue_idx,serving_cell,demand_active,served_this_tti,assigned_prg_count,planned_selected_slot_count,planned_selected_slot_this_tti,planned_served_this_tti,planned_assigned_prg_count,accepted_pre_pdsch_diagnostics_available,accepted_pre_pdsch_served_this_tti,accepted_pre_pdsch_assigned_prg_count,actual_diagnostics_available,actual_served_this_tti,actual_goodput_served_this_tti,actual_assigned_prg_count,actual_served_bytes,actual_goodput_bytes,actual_tb_tx_count,actual_tb_err_count,backlog_bytes,hol_delay_ms,ttl_slack_ms,recent_scheduled_ratio_feat,recent_goodput_deficit_norm_feat,no_service_streak,no_goodput_streak,planned_accepted_pre_pdsch_prg_delta,accepted_pre_pdsch_actual_prg_delta,planned_but_pre_pdsch_dropped_this_tti,accepted_pre_pdsch_but_final_dropped_this_tti,planned_native_prg_delta,planned_but_native_dropped_this_tti,recent100_demand_tti,recent100_served_tti,recent100_goodput_served_tti,recent100_service_rate,recent100_goodput_service_rate,recent100_backlog_demand_mean_bytes,recent100_unserved_backlog_mean_bytes,recent100_effective_prg_mean,recent100_goodput_bytes_mean,recent100_debt_score_bytes
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6000.0,1.0,199.0,0.2853918969631195,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,28.0,26.0,0.39436620473861694,0.3661971688270569,6003.267578125,2800.9013671875,0.4000000059604645,2638.239990234375,6735.79248046875
1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,528.0,1.0,199.0,0.5375323295593262,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,43.0,40.0,0.47252747416496277,0.4395604431629181,5516.3076171875,2089.93408203125,1.6799999475479126,2602.800048828125,2409.70458984375
2.0,0.0,1.0,1.0,4.0,1.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,1.0,4.0,9000.0,9000.0,1.0,0.0,6000.0,1.5,198.5,0.18839982151985168,0.32675880193710327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,24.0,23.0,0.4615384638309479,0.4423076808452606,6057.6923828125,2365.384521484375,0.75,2400.0,5711.5380859375
3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.5,199.5,0.22081714868545532,0.22963812947273254,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,23.0,20.0,0.3965517282485962,0.3448275923728943,5569.103515625,2896.5517578125,0.3700000047683716,1920.0,4910.689453125
4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6000.0,1.0,199.0,0.20807111263275146,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,26.0,25.0,0.34210526943206787,0.32894736528396606,6555.26318359375,3292.73681640625,0.4399999976158142,3343.919921875,7465.43359375
5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.4372761845588684,0.0973328948020935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,49.0,45.0,0.5444444417953491,0.5,5475.466796875,1741.244384765625,1.6200000047683716,2723.199951171875,1741.244384765625
6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.5,199.5,0.2376023232936859,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,23.0,22.0,0.29870128631591797,0.2857142984867096,6493.6103515625,3618.3896484375,0.3100000023841858,2722.639892578125,5818.859375
7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.5,199.5,0.23857586085796356,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,26.0,23.0,0.5098039507865906,0.45098039507865906,6411.7646484375,2705.88232421875,0.8299999833106995,2700.0,4396.47021484375
8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.30092042684555054,0.2802807688713074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,28.0,25.0,0.48275861144065857,0.43103447556495667,5956.1376953125,2539.72412109375,0.6100000143051147,2550.0,2539.72412109375
9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6000.0,0.5,199.5,0.22988028824329376,0.011345956474542618,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,26.0,24.0,0.3611111044883728,0.3333333432674408,5872.0,3070.77783203125,0.47999998927116394,2535.0400390625,7141.48486328125
