ue_idx,serving_cell,demand_active,served_this_tti,assigned_prg_count,planned_selected_slot_count,planned_selected_slot_this_tti,planned_served_this_tti,planned_assigned_prg_count,accepted_pre_pdsch_diagnostics_available,accepted_pre_pdsch_served_this_tti,accepted_pre_pdsch_assigned_prg_count,actual_diagnostics_available,actual_served_this_tti,actual_goodput_served_this_tti,actual_assigned_prg_count,actual_served_bytes,actual_goodput_bytes,actual_tb_tx_count,actual_tb_err_count,backlog_bytes,hol_delay_ms,ttl_slack_ms,recent_scheduled_ratio_feat,recent_goodput_deficit_norm_feat,no_service_streak,no_goodput_streak,planned_accepted_pre_pdsch_prg_delta,accepted_pre_pdsch_actual_prg_delta,planned_but_pre_pdsch_dropped_this_tti,accepted_pre_pdsch_but_final_dropped_this_tti,planned_native_prg_delta,planned_but_native_dropped_this_tti,recent100_demand_tti,recent100_served_tti,recent100_goodput_served_tti,recent100_service_rate,recent100_goodput_service_rate,recent100_backlog_demand_mean_bytes,recent100_unserved_backlog_mean_bytes,recent100_effective_prg_mean,recent100_goodput_bytes_mean,recent100_debt_score_bytes
0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6496.0,6496.0,1.0,0.0,3496.0,1.0,199.0,0.46387454867362976,0.27032703161239624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,42.0,37.0,0.6363636255264282,0.560606062412262,5131.7578125,1646.9090576171875,0.46000000834465027,2719.280029296875,3183.0302734375
1.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,3216.0,3216.0,1.0,0.0,3216.0,1.5,198.5,0.5435420274734497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,56.0,49.0,0.6292135119438171,0.550561785697937,4730.87646484375,1158.7415771484375,2.009999990463257,2766.320068359375,2604.134765625
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.32162073254585266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,33.0,32.0,0.6346153616905212,0.6153846383094788,7269.23095703125,2942.3076171875,0.8600000143051147,3240.0,2942.3076171875
3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.3103431463241577,0.03999319300055504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,32.0,29.0,0.6037735939025879,0.5471698045730591,6345.96240234375,2414.037841796875,0.46000000834465027,2760.0,2414.037841796875
4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.2686738669872284,0.06700363755226135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,26.0,25.0,0.5098039507865906,0.4901960790157318,6903.2158203125,3231.058837890625,0.3700000047683716,2655.0400390625,3231.058837890625
5.0,2.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,4488.0,4488.0,1.0,0.0,4352.0,1.0,199.0,0.3990066647529602,0.285357803106308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,47.0,40.0,0.6351351141929626,0.5405405163764954,4438.162109375,1516.3243408203125,1.5399999618530273,2177.60009765625,3515.89208984375
6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9000.0,2.0,198.0,0.2647876441478729,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,65.0,26.0,24.0,0.4000000059604645,0.3692307770252228,7828.3076171875,4075.6923828125,0.3499999940395355,3270.0,10142.7197265625
7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.3337177634239197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,29.0,26.0,0.5686274766921997,0.5098039507865906,5352.94140625,2235.294189453125,0.8999999761581421,2460.0,2235.294189453125
8.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,6000.0,6000.0,1.0,0.0,6000.0,1.0,199.0,0.35414862632751465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,36.0,32.0,0.7200000286102295,0.6399999856948853,5981.1201171875,1699.0400390625,0.6399999856948853,2970.0,3859.0400390625
9.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27368.0,2.0,198.0,0.6561387777328491,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,63.0,57.0,0.6631578803062439,0.6000000238418579,9585.515625,3293.389404296875,1.25,2700.639892578125,14525.400390625
10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26192.0,5.5,194.5,0.5727436542510986,0.08303157240152359,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,65.0,59.0,0.6499999761581421,0.5899999737739563,24732.3203125,8931.3603515625,1.7699999809265137,3289.1201171875,20260.18359375
11.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,3976.0,3976.0,1.0,0.0,17000.0,1.5,198.5,0.8581147789955139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,81.0,70.0,0.8100000023841858,0.699999988079071,13730.5595703125,4034.9599609375,1.7300000190734863,2702.800048828125,9134.9599609375
12.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,3976.0,3976.0,1.0,0.0,9872.0,2.5,197.5,0.7361732721328735,0.13453097641468048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,71.0,65.0,0.7244898080825806,0.6632652878761292,6724.1630859375,1796.0,0.9900000095367432,2670.0,5120.2451171875
13.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.5,199.5,0.34839919209480286,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,36.0,33.0,0.6666666865348816,0.6111111044883728,6240.4443359375,2239.111083984375,0.6000000238418579,3165.760009765625,3439.835693359375
14.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6000.0,6000.0,1.0,0.0,6000.0,1.0,199.0,0.3740886151790619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,38.0,37.0,0.7037037014961243,0.6851851940155029,6111.111328125,1722.22216796875,0.49000000953674316,3300.0,3611.11083984375
15.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45000.0,6.5,193.5,0.04805808886885643,0.33159270882606506,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,6.0,6.0,0.06741572916507721,0.06741572916507721,21910.11328125,19516.853515625,0.23000000417232513,2430.0,69475.9609375
16.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.36122438311576843,0.01308872178196907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,33.0,31.0,0.717391312122345,0.6739130616188049,5152.173828125,1565.2174072265625,0.47999998927116394,2790.0,1565.2174072265625
17.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11792.0,1.0,199.0,0.580149233341217,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,60.0,56.0,0.6666666865348816,0.6222222447395325,6172.2666015625,1792.800048828125,1.5700000524520874,2869.679931640625,6310.03125
18.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5624.0,5624.0,1.0,0.0,9000.0,1.5,198.5,0.38444480299949646,0.24387198686599731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,44.0,40.0,0.5945945978164673,0.5405405163764954,5348.6484375,1724.2161865234375,0.5600000023841858,2383.60009765625,5859.3515625
19.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,22536.0,22536.0,1.0,0.0,28464.0,5.5,194.5,0.10466689616441727,0.2262416034936905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,85.0,13.0,12.0,0.15294118225574493,0.1411764770746231,14935.90625,11991.3408203125,0.33000001311302185,2367.280029296875,36436.89453125
20.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,3976.0,3976.0,1.0,0.0,13184.0,2.0,198.0,0.4393586218357086,0.28909215331077576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,53.0,51.0,0.5760869383811951,0.554347813129425,6397.5654296875,2024.95654296875,1.2699999809265137,2243.840087890625,7900.43505859375
21.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14256.0,3.0,197.0,0.8111900687217712,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,75.0,68.0,0.75,0.6800000071525574,12809.0400390625,3526.239990234375,1.3899999856948853,2794.47998046875,8169.04150390625
22.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,5968.0,5968.0,1.0,0.0,25560.0,2.5,197.5,0.7712553143501282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,78.0,71.0,0.7799999713897705,0.7099999785423279,19722.880859375,5158.72021484375,1.8600000143051147,3388.800048828125,12571.12109375
23.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.6680158972740173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96.0,65.0,61.0,0.6770833134651184,0.6354166865348816,9445.3330078125,2121.333251953125,1.3899999856948853,3085.43994140625,2121.333251953125
24.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16504.0,3.0,197.0,0.25724151730537415,0.13638471066951752,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,30.0,29.0,0.31578946113586426,0.3052631616592407,9259.4521484375,5322.10546875,0.5600000023841858,2415.60009765625,17795.32421875
25.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,8536.0,8536.0,1.0,0.0,10448.0,1.0,199.0,0.2859983444213867,0.11910000443458557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,29.0,27.0,0.3222222328186035,0.30000001192092896,8310.400390625,4488.533203125,0.5299999713897705,2772.719970703125,11802.1328125
26.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3000.0,3000.0,1.0,0.0,3000.0,0.5,199.5,0.3684941828250885,0.12712831795215607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.0,44.0,41.0,0.5641025900840759,0.5256410241127014,4940.8203125,1776.1025390625,0.5400000214576721,2645.43994140625,3199.179443359375
27.0,0.0,1.0,1.0,4.0,1.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,1.0,4.0,7920.0,7920.0,1.0,0.0,12512.0,2.0,198.0,0.47458356618881226,0.25642767548561096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,50.0,45.0,0.5263158082962036,0.4736842215061188,6567.83154296875,2769.684326171875,1.2799999713897705,2549.919921875,9354.947265625
28.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.3684503138065338,0.028368711471557617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,42.0,38.0,0.591549277305603,0.5352112650871277,5340.95751953125,1677.5211181640625,1.600000023841858,2653.43994140625,1677.5211181640625
29.0,1.0,1.0,1.0,4.0,1.0,1.0,1.0,4.0,1.0,1.0,4.0,1.0,1.0,1.0,4.0,7920.0,7920.0,1.0,0.0,5936.0,0.5,199.5,0.4282098412513733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,39.0,34.0,0.48750001192092896,0.42500001192092896,5674.2001953125,2914.60009765625,1.5499999523162842,2440.719970703125,6327.7998046875
30.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.3724783658981323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,36.0,32.0,0.8372092843055725,0.7441860437393188,5302.32568359375,1465.1163330078125,0.5400000214576721,2670.0,1465.1163330078125
31.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,15000.0,15000.0,1.0,0.0,9000.0,0.5,199.5,0.3149941861629486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,30.0,28.0,0.5555555820465088,0.5185185074806213,7611.111328125,2833.333251953125,0.38999998569488525,3270.0,7166.6669921875
32.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.5,199.5,0.38061174750328064,0.08436010777950287,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,35.0,31.0,0.8536585569381714,0.7560975551605225,5195.1220703125,1097.56103515625,0.4000000059604645,2670.0,1847.56103515625
33.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,5968.0,5968.0,1.0,0.0,13968.0,1.5,198.5,0.7757545709609985,0.0692707896232605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,72.0,66.0,0.7200000286102295,0.6600000262260437,11520.6396484375,3474.239990234375,1.5700000524520874,3208.0,8223.359375
34.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,3960.0,3960.0,1.0,0.0,4080.0,1.5,198.5,0.45929306745529175,0.3362545073032379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,44.0,37.0,0.5432098507881165,0.45679011940956116,4345.77783203125,1561.8765869140625,1.190000057220459,2112.56005859375,3778.1728515625
35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.5121011137962341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,42.0,39.0,0.5121951103210449,0.47560974955558777,6672.8779296875,2931.51220703125,1.7000000476837158,3043.360107421875,2931.51220703125
